username,author_id,tweet_id,texto,text
sebastiansichel,1249042347989651457,1461075008592166915,@sebastiansichel oye pobre imbécil  así que te dieron las preguntas antes???? no tienes gracia ni para eso!!!!!  que bueno que este domingo te vas de viaje a la concha dela que te parió.....,@sebastiansichel hey poor jerk  so they gave you the questions before???? you are not funny even for that!!!!! It's good that this Sunday you're going on a trip to the shell that gave birth to you...
sebastiansichel,110784198,1461068843917393934,@sebastiansichel Eres un cagon  hiciste trampa   un sucio de la política   kast te masacra el domingo y será ufffffff,@sebastiansichel You're a cagon  you cheated  a dirty politician  kast massacres you on sunday and it'll be ufffffff
sebastiansichel,1414422753831264258,1461067057391415296,@sebastiansichel Dejense de llorar malditos cobardes!,@sebastiansichel Stop crying damn cowards!
sebastiansichel,192363978,1461061689994973184,@sebastiansichel Vamos con todo al barranco... Votar por @sebastiansichel es Votar x Boric.,@sebastiansichel Let's go with everything to the ravine... Voting for @sebastiansichel is Voting x Boric.
sebastiansichel,1146174239948644352,1461060553305174024,@sebastiansichel Pídele un cupo a Lavín para arrancar a España después de que todas tus corrupciones salgan a la luz.,@sebastiansichel Ask Lavín for a spot to uproot Spain after all your corruptions come to light.
sebastiansichel,118545627,1461059100381368320,@sebastiansichel Tan llorones q son!Han jugado a las víctimas la mitad d la campaña. Cortenla! Tanto Larrarin como Cubillos asímismo Sichel están viejitos pa llorar x un par d tuits. A kast le han dicho x lo bajo Nazi y a sus seguidores parten diciéndoles bots. Tanta lágrima me recuerda a Topacio,@sebastiansichel So crybaby they are! They've played victims half the campaign. Cut her out! Both Larrarin and Cubillos and Sichel are old enough to cry x a couple of tweets. Kast has been told what is under Nazi and his followers leave telling them bots. So much tear reminds me of Topaz
sebastiansichel,2936462266,1461048698071404545,@sebastiansichel Puta wn  cómo contai el final del peyuco? Eris desatinado,@sebastiansichel Puta wn  how do I count the end of the little ass? Eris unsatiny
sebastiansichel,2432297145,1461047457106644992,@sebastiansichel Vamos que se puede.  #VotaSichel #SoloSichelGanaEnSegunda,@sebastiansichel Come on  you can. #VotaSichel #SoloSichelGanaEnSegunda
sebastiansichel,1316907438050783234,1461043881332523011,@sebastiansichel Sichel  te haces la víctima cuando se te dijo todo este tiempo que dejaras de atacar a Kast  quién realmente es intolerante eres tú  tiras la piedra y esconde la mano.,@sebastiansichel Sichel  you play the victim when you were told all this time to stop attacking Kast  who is really intolerant is you  throw the stone and hide your hand.
sebastiansichel,1452412957455966211,1461039430781779977,@sebastiansichel SOROS O BACHELET TE ESTA DANDO INSTRUCCIONES?,@sebastiansichel SOROS OR BACHELET GIVING YOU INSTRUCTIONS?
sebastiansichel,606229844,1461037045200003072,@sebastiansichel Hablando de agresividad me llama la atención que prácticamente toda la campaña de Sichel se haya centrado en atacar Kast  de paso a sus adherentes. Eso que sería? No que pretendía unir? Ja.,@sebastiansichel Speaking of aggressiveness  it strikes me that practically the entire Sichel campaign has focused on attacking Kast  passing through its adherents. What would that be? Not what did you intend to unite? Ha.
sebastiansichel,976848819714486272,1461035988378001408,@sebastiansichel Si votaste por el apruebo nada bueno pude salir de ti.,@sebastiansichel If you voted for it I approve nothing good I could come out of you.
sebastiansichel,1246547697366110215,1461031508538388491,@sebastiansichel Si eres tan transparente  aclara lo del debate. Humberto Sichel es familiar tuyo?. Macarena Pizarro te paso las pregintas? Curioso que tuvieras JUSTO las respuestas con papelitos impresos y hasta destacados. Sospechoso Piñelet. Aclaralo!!! Eres capaz de todo zurdo.,@sebastiansichel If you're so transparent  clarify the debate. Is Humberto Sichel a relative of yours? Did Macarena Pizarro pass you the questions? Curious that you had JUST the answers with printed papers and even featured. Suspect Piñelet. Clear it up!!! You're capable of everything left-handed.
sebastiansichel,1186365982488629253,1461028911781842947,@sebastiansichel @patricionawrath Votaste APRUEBO??? Somos de Kast,@sebastiansichel @patricionawrath You voted I APPROVE??? We're from Kast
sebastiansichel,1146395747597914112,1461081163703980037,@sebastiansichel Sichel eres un burro no entendiste nunca que el adversario está al otro lado  por unos pocos votos el domingo tendrás q ir a abrazar a kast y dignamente ofrecerle tu apoyo ! Nunca aprenderá esta derecha ,@sebastiansichel Sichel you are a donkey you never understood that the opponent is on the other side  for a few votes on Sunday you will have to go to hug kast and worthily offer him your support! You'll never learn this right 
sebastiansichel,1258925637676523520,1461080292165251073,@sebastiansichel Pero cómo se te ocurre. ¿No ves que en la Macrozona Sur están todos preocupados de que Nicolás tiene 2 papás? El terrorismo es un pelo de la cola.,@sebastiansichel But how do you think of it. Can't you see that everyone in the South Macrozone is worried that Nicholas has two dads? Terrorism is a hair of the tail.
sebastiansichel,1377579883430285313,1461072817462648847,@sebastiansichel Que chanta más grande. No lo he visto mantener una posición clara por más de una semana. El candidato veleta le dicen a sus espaldas los periodistas. Tenemos una apuesta en el canal: Cada cuánto se desdice. Lo entrevistan muertos de la risa  nadie le cree.,@sebastiansichel What a bigger chanta. I haven't seen him hold a clear position for over a week. The candidate veleta tells journalists behind his back. We have a bet on the channel: how often it is dismissed. They interview him dead of laughter  no one believes him.
sebastiansichel,298138229,1461071789035982849,@sebastiansichel Te pillamos sinvergüenza #SichelHizoTrampa,@sebastiansichel We caught you scoundrel #SichelHizoTrampa
sebastiansichel,1447797163757473796,1461069039095087108,@sebastiansichel fuiste una serpiente hasta el final  odioso mala leche  JAK jamás te atacó  y te dijo en el debate caballerosamente "donde firmo"  pero tu hasta la última semana le tiraste mugre a la derecha  jamás fuiste de derecha por eso te sale tan natural ser  Este domingo Votamos Kast ,@sebastiansichel you were a snake to the end  hateful bad milk  JAK never attacked you  and told you in the debate chivalrously where do I sign  but until last week you threw dirt on the right  you never went right that's why it comes so natural for you to be This Sunday We voted Kast 
